ÜNÝVERSÝTE_TÜRÜ;ÜNÝVERSÝTE;FAKÜLTE;PROGRAM_KODU;PROGRAM;DÝL;ÖÐRENÝM_TÜRÜ;BURS;ÖÐRENÝM_SÜRESÝ;PUAN_TÜRÜ;KONTENJAN;OKUL_BÝRÝNCÝSÝ_KONTENJANI;GEÇEN_YIL_MÝN_SIRALAMA;GEÇEN_YIL_MÝN_PUAN
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110442;Bilgisayar Mühendisliði;Ýngilizce;;;4;SAY;90;3;37000;425,12447
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110451;Çevre Mühendisliði;;;;4;SAY;80;2;232000;266,94283
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110469;Elektrik-Elektronik Mühendisliði;Ýngilizce;;;4;SAY;90;3;41100;418,0695
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110478;Endüstri Mühendisliði;;;;4;SAY;90;3;50000;403,47177
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110487;Ýnþaat Mühendisliði;;;;4;SAY;90;3;62400;385,17519
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103130128;Ýnþaat Mühendisliði;;Ýkinci Öðretim;;4;SAY;90;3;86300;355,9879
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110496;Jeofizik Mühendisliði;;;;4;SAY;20;1;;
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110503;Jeoloji Mühendisliði;;;;4;SAY;30;1;;
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110512;Maden Mühendisliði;;;;4;SAY;60;2;;
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110521;Makine Mühendisliði;;;;4;SAY;90;3;55200;395,47115
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103130137;Makine Mühendisliði;;Ýkinci Öðretim;;4;SAY;90;3;75500;368,18479
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110539;Metalurji ve Malzeme Mühendisliði;;;;4;SAY;70;2;142000;309,13777
Devlet;DOKUZ EYLÜL ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103110548;Tekstil Mühendisliði;;;;4;SAY;40;1;;
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410333;Bilgisayar Mühendisliði;;;;4;SAY;100;3;34100;430,49316
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410342;Biyomühendislik;;;;4;SAY;60;2;115000;329,04377
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410351;Deri Mühendisliði;;;;4;SAY;20;1;;
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410369;Elektrik-Elektronik Mühendisliði;;;;4;SAY;80;2;41300;417,59504
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410378;Gýda Mühendisliði;;;;4;SAY;130;4;165000;295,84276
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410387;Ýnþaat Mühendisliði;;;;4;SAY;70;2;52700;399,18119
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410396;Kimya Mühendisliði;Ýngilizce;;;4;SAY;80;2;88600;353,42893
Devlet;EGE ÜNÝVERSÝTESÝ;Mühendislik Fakültesi;103410403;Makine Mühendisliði;;;;4;SAY;80;2;47100;407,98429
